Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:07b95dc05fd909413f686531c17133922982676f898bc463a52a7b002a59e3d3	arm64	Linux	Ubuntu 18.04	3.1.5	src/runtime/3.1/bionic/arm64v8/Dockerfile	dotnet/core-nightly/runtime	2020-06-29 20.49.24.00
sha256:07e79de0456da481493db8400071f773ff592b920266faba9b1893439d855aee	amd64	Windows	"Windows Server, version 2004"	3.1.5	src/runtime/3.1/nanoserver-2004/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-06-29 20.48.54.00
sha256:0806e6632b12f15bcdce43efb2cff06e8f50d2692a2f146db237978b44fa9c11	amd64	windows	Windows Server 2019	5.0.0	5.0/aspnet/nanoserver-1809/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-22 01.51.24.00
sha256:0842fc8034dea7a061fe0a4be47bcfea2ce71ca49815f7e9103f40c8265ddec6	amd64	Windows	"Windows Server, version 1909"	2.1.19	src/runtime/2.1/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-06-29 20.48.56.00
sha256:086f1a0b0c5c35e8ff08ca1a7e929718b28f01823d550da3006d0dc5539e4837	amd64	Windows	"Windows Server, version 1903"	3.1.301	src/sdk/3.1/nanoserver-1903/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-06-30 00.31.36.00
sha256:0892550595312cfa8491c4f27f065718163ab6b96c3e7b48a8d0205970872c65	arm64	Linux	Debian 10	5.0.100-preview.8	src/sdk/5.0/buster-slim/arm64v8/Dockerfile	dotnet/nightly/sdk	2020-08-13 21.48.50.00
sha256:08a99c994dac4fdc0b074c3af6c81aec74f6e95e3e938c83f3593a81963eab01	amd64	Windows	"Windows Server, version 1909"	2.1.17	2.1/aspnet/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-28 20.05.25.00
sha256:08d85bdf786b4cb096e15cf44c4b15e5c84f9783ad9efdba23662d837bb4d9e9	amd64	Windows	"Windows Server, version 2004"	5.0.100-preview.7	src/sdk/5.0/nanoserver-2004/amd64/Dockerfile	dotnet/nightly/sdk	2020-06-30 00.30.34.00
sha256:093d5e246eaa916c93950649380cc3dee24a68db0350013bd6a06313efa57717	arm32	Linux	Ubuntu 18.04	2.1.18	2.1/aspnet/bionic/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-05-19 17.38.45.00
sha256:094ce5f9aa3e6537a6303aa19575fa50aa0581a8ed1404bf97e46bdf38454af1	arm32	Linux	Debian 10	5.0.100-preview.8	src/sdk/5.0/buster-slim/arm32v7/Dockerfile	dotnet/nightly/sdk	2020-08-17 13.40.00.00
sha256:09c2a475699c92388c1bee0ffed14d83627f7ea5e6fb9d188ab312e57fdaba66	amd64	Linux	Debian 9	2.1.17	2.1/aspnet/stretch-slim/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-29 14.05.26.00
sha256:0a16b1b07013963e86b1e95552bacc48ff4f67b8729b93f79d6e9df6748417cb	amd64	Linux	Alpine 3.11	3.1.3	3.1/aspnet/alpine3.11/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-28 20.05.25.00
sha256:0a4443a7ada87d39ce059630f038d94339ad35c20253086bee52e5390b12323d	arm64	Linux	Debian 10	5.0.0-preview.8	src/runtime-deps/5.0/buster-slim/arm64v8/Dockerfile	dotnet/nightly/runtime-deps	2020-08-17 13.35.55.00
sha256:0aaf8f0abbde49eef9602b483b2a1eee51c87cbfb759d54b29d82c30f103f5bc	amd64	Windows	"Windows Server, version 2004"	3.1.5	src/aspnet/3.1/nanoserver-2004/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-30 00.27.49.00
sha256:0b2815b087ed7b9f232c4afdde743635d1644ea162b91ed7c23a90e03e068415	amd64	Windows	"Windows Server, version 1909"	5.0.0-preview.4	5.0/aspnet/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-30 13.54.06.00
sha256:0c004977dd2d4ed8b17eb8b8e433b887c1fb2f3e82ffda7bb755a950e1c1e968	arm64	Linux	Debian 10	5.0.0-preview.7	src/runtime/5.0/buster-slim/arm64v8/Dockerfile	dotnet/nightly/runtime	2020-06-29 20.47.41.00
sha256:0c19acf763b11dc1c1c10c754d6cb32f7167f17b379b994f5dfef2d79cb6b27f	amd64	Linux	Alpine 3.12	5.0.0-preview.8	src/aspnet/5.0/alpine3.12/amd64/Dockerfile	dotnet/nightly/aspnet	2020-08-17 13.36.17.00
sha256:0c3e232f465b4eb301fb5aa5411aba35a98f4db0cc2ba38a0b43ef6c1a3bdb97	amd64	windows	"Windows Server, version 1903"	2.1.17	2.1/aspnet/nanoserver-1903/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-22 01.51.15.00
sha256:0c4a1cd814ded3f6bcf0f568c835ebd31e398718ab6dbf39ae41fe692290a432	amd64	Windows	"Windows Server, version 2004"	3.1.5	src/runtime/3.1/nanoserver-2004/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-06-30 00.27.24.00
sha256:0c63a873953ad04f6909669308e1ef7fb2355096c7327f6f788d138d1e76a13a	arm32	Linux	Ubuntu 18.04	3.1.5	src/runtime-deps/3.1/bionic/arm32v7/Dockerfile	dotnet/core-nightly/runtime-deps	2020-06-30 00.27.16.00
sha256:0c8e365a17ea6ee18f706e3c5aa85e7411cfdb087e6186c4e259a9521bda6928	arm32	Linux	Debian 10	3.1.3	3.1/aspnet/buster-slim/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-04-28 20.05.21.00
sha256:0cf4ca34b0c966228977cb875c616bcf5b618226fcf8db3ecc8cf2a3d9aaa052	amd64	Windows	Windows Server 2019	5.0.0-preview.7	src/runtime/5.0/nanoserver-1809/amd64/Dockerfile	dotnet/nightly/runtime	2020-06-29 20.48.58.00
sha256:0d2b7e73d35b1019e496fc8ea8c569c833605a4d540779d82c593feaa25172e8	amd64	Windows	"Windows Server, version 1903"	3.1.3	3.1/aspnet/nanoserver-1903/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-27 15.30.11.00
sha256:0d301696bc7ed290ddbaaf9642e7f8ef37ffee472f3f7bf57b15c0d1897c1a46	arm32	Linux	Debian 9	2.1.18	2.1/aspnet/stretch-slim/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-05-19 17.38.47.00
sha256:0d41a39c2f87d0a7b7a6f948085ea3de9cd3d71328b4d1569515a1825d2bf770	arm64	Linux	Ubuntu 20.04	5.0.0-preview.8	src/aspnet/5.0/focal/arm64v8/Dockerfile	dotnet/nightly/aspnet	2020-08-13 21.47.16.00
sha256:0d7ea7a878b466289a33a5ca446cf91d1d111a3be71eca361b2f834491d4648e	arm32	Linux	Debian 10	3.1.5	src/aspnet/3.1/buster-slim/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-06-30 00.27.50.00
sha256:0d8c598d2a7b48de2910c5aca9a37abcb60d4ff037c766656c83f451b24f985c	amd64	Linux	Debian 9	2.1.17	2.1/aspnet/stretch-slim/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-07 00.24.20.00
sha256:0dc75bbd1c7325b2c81f086df432b7a632823585440c67b31b03c525a965e0d5	arm64	Linux	Alpine 3.12	3.1.5	src/runtime-deps/3.1/alpine3.12/arm64v8/Dockerfile	dotnet/core-nightly/runtime-deps	2020-06-30 00.26.55.00
sha256:0deca8350860bc514affd1daa00689709000d514ee6233b1ff814eb661c63f3a	amd64	Windows	Windows Server 2019	5.0.0-preview.4	5.0/aspnet/nanoserver-1809/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-29 13.37.20.00
sha256:0e1b6e68b3050044db6822381269e2688efa34227f6e54a47b3330858afbf5cd	amd64	Linux	Alpine 3.12	5.0.0-preview.8	src/runtime/5.0/alpine3.12/amd64/Dockerfile	dotnet/nightly/runtime	2020-08-18 13.02.07.00
sha256:0e5cf083ae614633e7d6bd5ed5c3aae998d41ec0f1662ba7169e6ae1146f714f	amd64	Linux	Alpine 3.12	3.1.5	src/monitor/5.0/alpine/amd64/Dockerfile	dotnet/nightly/monitor	2020-06-30 00.27.44.00
sha256:0e69a5df5213a0ffe797768c094954371b652c85e22abfa6bfebc7acc60d4e38	arm64	Linux	Alpine 3.11	3.1.5	src/runtime/3.1/alpine3.11/arm64v8/Dockerfile	dotnet/core-nightly/runtime	2020-06-29 20.47.12.00
sha256:0e6e9808b52c3037d6f50a28102992bf72ebd7d4599747fc9bf4fc741c54a52a	amd64	Linux	Alpine 3.10	2.1.17	2.1/aspnet/alpine3.10/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-28 15.43.42.00
sha256:0ebc66e41fb4f12379c991e7c9f378d2e724ae125ccc623bdacd1dc466173116	amd64	Windows	"Windows Server, version 1909"	2.1.807	src/sdk/2.1/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-06-30 00.31.44.00
sha256:0ecc8367902b9e31457f6324e40991d170986f061b581c3425f5a5e89f8de7a5	arm32	Linux	Ubuntu 18.04	3.1.3	3.1/aspnet/bionic/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-05-07 00.24.58.00
sha256:0eef910976c3d8a2eaa3b0d50876e7bf67cf0a8d4b954041b0163c9538283540	amd64	Linux	Debian 10	5.0.100-preview.8	src/sdk/5.0/buster-slim/amd64/Dockerfile	dotnet/nightly/sdk	2020-08-17 13.38.04.00
sha256:0f0b7b4b5e829d78ff5e9dcb57f8ab27681060006875e74ba2987d9ce03b629f	amd64	Linux	Ubuntu 20.04	2.1.18	2.1/aspnet/focal/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-15 21.36.46.00
sha256:0f0d00ebdc8772abe2344481295fbd016883c15a74dd28d72f650be7fbe9e9da	arm32	Linux	Debian 9	2.1.17	2.1/aspnet/stretch-slim/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-04-28 15.44.26.00
sha256:0f1a100ae02011e738aaefcabd869f878f64041abceb37dabceefc88b242d1b3	arm32	Linux	Debian 9	2.1.17	2.1/aspnet/stretch-slim/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-05-07 00.24.58.00
sha256:0f5e759e267ebf6b6d1f3e73fe77c38fa29d75d3d92d13c514ff306df91d863f	amd64	Windows	"Windows Server, version 1903"	3.1.4	3.1/aspnet/nanoserver-1903/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-12 22.24.06.00
sha256:0fc8269e6da3736c84207d49d3cbdb7aa68dbf83022d84fe57855bf696d25170	amd64	Windows	"Windows Server, version 1909"	2.1.19	src/aspnet/2.1/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-29 20.49.12.00
