Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:dc6331c7eb7aacb851f5de3a8ff80937e77fa506bf3b02d8ada4b34dea11baf6	amd64	Linux	Ubuntu 20.04	3.1.8	src/aspnet/3.1/focal/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:24.0000000
sha256:d5f99bda7f31a373c9fb48e065f93e3e405453ea4ab200fa6aad2f102a4b2d6f	arm32	Linux	Debian 9	2.1.22	src/runtime-deps/2.1/stretch-slim/arm32v7/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:26.0000000
sha256:3f8c05ad88e182e04fea56f9f83e6c1904a93ebf48bca4c5e2675519f7148c29	amd64	Windows	"Windows Server, version 1909"	2.1.22	src/aspnet/2.1/nanoserver-1909/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:33.0000000
sha256:6da604d96c720efca70be787f08fb92ab6a52c3b61a39a7d32cb6e79199408fb	amd64	Linux	Debian 10	3.1.402	src/sdk/3.1/buster/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:46:33.0000000
sha256:ccc676d33b31570e4b2466d0f512a4ddab1669ebf3197def06846753fd92b349	amd64	Windows	"Windows Server, version 2004"	2.1.22	src/aspnet/2.1/nanoserver-2004/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:35.0000000
sha256:b5bbe9f24ed9138ac496c371f48c25f72fd1397e93e77d6ec0877e71f8a945d6	arm64	Linux	Debian 10	3.1.8	src/runtime-deps/3.1/buster-slim/arm64v8/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:35.0000000
sha256:f0ca27d96a7e1b528333d57185401bf87fa71d53bb6fbb388552e77a963dea9d	arm64	Linux	Ubuntu 20.04	3.1.8	src/runtime-deps/3.1/focal/arm64v8/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:35.0000000
sha256:a4905875b36a610163ef93182ac5b6c06587a660ea4438e785786c01893f6722	amd64	Windows	Windows Server 2019	3.1.8	src/aspnet/3.1/nanoserver-1809/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:36.0000000
sha256:d37f5667844a0df89709c074c610deabbcd9ea0207a36a5e1ceb7c1754712966	amd64	Linux	Alpine 3.12	2.1.22	src/runtime-deps/2.1/alpine3.12/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:38.0000000
sha256:d37f5667844a0df89709c074c610deabbcd9ea0207a36a5e1ceb7c1754712966	amd64	Linux	Alpine 3.12	2.1.23	src/runtime-deps/2.1/alpine3.12/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:38.0000000
sha256:1f3899e33169fd79961a946044f2900e6def8f02519283a30bba729346a50df7	amd64	Windows	"Windows Server, version 1903"	2.1.22	src/aspnet/2.1/nanoserver-1903/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:39.0000000
sha256:83185e90b4468c6d09c3496b1f9d0e36f20ad041ac623d8dbc92825a1d53d6af	amd64	Windows	"Windows Server, version 2004"	3.1.8	src/aspnet/3.1/nanoserver-2004/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:39.0000000
sha256:7b8696a989b86e052ace03b5405c27823c2fe167f5cfdaef6a4a32d5d0c6158e	arm32	Linux	Debian 10	3.1.402	src/sdk/3.1/buster/arm32v7/Dockerfile	dotnet/core/sdk	2020-09-08 15:46:39.0000000
sha256:9f71eec37bf2b0b4187e212d6f92e4f9617cc71e3711efa91f22966917da69b3	amd64	Windows	"Windows Server, version 1909"	3.1.8	src/aspnet/3.1/nanoserver-1909/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:40.0000000
sha256:30172009cbf4dfde9782d362ed17a38475e35edcd1012fb78db1e7d258f06b88	amd64	Windows	"Windows Server, version 1903"	3.1.8	src/aspnet/3.1/nanoserver-1903/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:42.0000000
sha256:b5b1c50b9097524fb15cc895ce69ea0ebd37d288e20165f1704804abf1280dde	arm32	Linux	Ubuntu 18.04	2.1.22	src/runtime-deps/2.1/bionic/arm32v7/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:42.0000000
sha256:5ff2e0edda704b70f5f9a85a040798e9145b11da488710e9b6f5b7c02687f58a	amd64	Linux	Alpine 3.12	2.1.22	src/runtime/2.1/alpine3.12/amd64/Dockerfile	dotnet/core/runtime	2020-09-08 15:46:43.0000000
sha256:6248e66396223d9a3d36adf74d37c890b9a02709e42f8f344a446b7a228fa71f	arm32	Linux	Ubuntu 18.04	3.1.8	src/runtime-deps/3.1/bionic/arm32v7/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:43.0000000
sha256:c6deea889394e425537e092caac7e674f9989afba1026d0030284a71106e5409	amd64	Linux	Alpine 3.11	2.1.22	src/runtime-deps/2.1/alpine3.11/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:44.0000000
sha256:62365d77cffcc61a52337a727c9c72a35f6a4f98f44ab50f311b2a93a6712116	amd64	Linux	Ubuntu 20.04	3.1.402	src/sdk/3.1/focal/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:46:46.0000000
sha256:29e3ca086b35a4548470877df8e2fbe592bfeeda1324700fd42f4a6c6ca048ba	amd64	Linux	Ubuntu 18.04	3.1.402	src/sdk/3.1/bionic/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:46:47.0000000
sha256:760038aa796fe04dba74908116f381b34d6350924dd35487c3dcbf1039ffd703	amd64	Windows	Windows Server 2019	2.1.22	src/aspnet/2.1/nanoserver-1809/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:48.0000000
sha256:2d04139677e80a73652d38275509e7441d484c6418ed4c352ecb7360560f99db	amd64	Linux	Ubuntu 20.04	2.1.22	src/runtime-deps/2.1/focal/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:48.0000000
sha256:c4354c30dd56fa74d74e55566171f9c19e03a98f33daf1037cc8e9f052c49c33	arm32	Linux	Debian 9	2.1.22	src/runtime/2.1/stretch-slim/arm32v7/Dockerfile	dotnet/core/runtime	2020-09-08 15:46:50.0000000
